,Powerplant Name,gppd_idnr,Capacity (MW),Primary Fuel,Owner,Source,distance_to_water_km,Longitude,Latitude
0,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33.0,Hydro,,GEODB,1.2759076102894271,65.119,32.322
1,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66.0,Hydro,,GEODB,90.08608524003652,69.4787,34.556
2,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100.0,Hydro,,GEODB,111.96883783365246,69.717,34.641
3,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,Hydro,,GEODB,170.94772020701015,70.3633,34.4847
4,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42.0,Gas,,GEODB,56.81983666068138,69.1134,34.5638
5,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6.0,Hydro,,GEODB,125.4609140859116,68.71,35.9416
6,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22.0,Hydro,,GEODB,117.09336888846038,69.7757,34.5865
7,Bistrica 1,WRI1002169,27.0,Hydro,,Energy Charter Secretariat,12.197493242187448,20.1047,39.9116
8,Fierza,WRI1002170,500.0,Hydro,,Energy Charter Secretariat,0.274026743585134,20.0431,42.2514
9,Koman,WRI1002171,600.0,Hydro,,Energy Charter Secretariat,0.8238866808014222,19.8224,42.1033
10,Lanabregas,WRI1002172,5.0,Hydro,,Energy Charter Secretariat,41.19059115713833,19.8964,41.3428
11,Shkopet,WRI1002173,24.0,Hydro,,Energy Charter Secretariat,18.758825764325486,19.8305,41.6796
12,Ulez,WRI1002174,25.0,Hydro,,Energy Charter Secretariat,23.31149845636229,19.8936,41.6796
13,Vau i Dijes,WRI1002175,250.0,Hydro,,Energy Charter Secretariat,1.307114814748377,19.6359,42.0137
14,Vlora,WRI1002176,98.0,Other,,Energy Charter Secretariat,5.907029608135094,19.434,40.4874
15,Ain Djasser,WRI1023776,520.0,Gas,SociÃ©te AlgÃ©rienne de Production de l\'ElectricitÃ©,Arab Union of Electricity,113.56942035778872,6.0262,35.8665
16,Annaba,WRI1023795,71.0,Gas,SociÃ©tÃ© AlgÃ©rienne de Production de lâ€™ElectricitÃ© (SPE),Arab Union of Electricity,0.0,7.7634,36.8924
17,Arbaa,WRI1023777,560.0,Gas,Sonelgaz,Arab Union of Electricity,20.31274209117679,3.1375,36.5988
18,Boufarik 1,WRI1023792,100.0,Gas,,Arab Union of Electricity,18.76212415240268,2.9223,36.5914
19,Boufarik 2,WRI1023793,450.0,Gas,,Arab Union of Electricity,17.757039194773267,2.878,36.596
20,Boutelilis,WRI1023781,450.0,Gas,,Arab Union of Electricity,21.226366275347104,-0.9386,35.5658
21,F'Krina,WRI1023785,292.0,Gas,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,129.71185778720263,7.3619,35.7666
22,Hadjret Ennous,WRI1023768,1200.0,Gas,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity,10.689265949413905,2.0797,36.5767
23,Hamma 2,WRI1023783,418.0,Gas,Sonelgaz Production de lâ€™Electricite,Arab Union of Electricity,3.021784647223251,3.0823,36.7489
24,Hassi Messaoud Mobile,WRI1023796,72.0,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity,463.90138725871566,6.0531,31.6703
25,Hassi Messoud,WRI1023779,600.0,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity,463.90138725871566,6.0531,31.6703
26,Hassi Messoud Nord 2,WRI1023790,200.0,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity,457.2485932030564,6.0517,31.7877
27,Hassi Messoud Ouest,WRI1023799,492.0,Gas,Sonelgaz Production de l'Electricite,Arab Union of Electricity,461.02802748646855,5.9924,31.8065
28,Ighil Emda,WRI1023798,24.0,Hydro,SAFEAGE,Arab Union of Electricity,27.51075639014531,5.2719,36.4739
29,Jijel,WRI1023775,588.0,Gas,,Arab Union of Electricity,13.529532729853226,5.876,36.8139
30,Kahrama IPP,WRI1023784,345.0,Gas,,Arab Union of Electricity,6.974396776712288,-0.2476,35.8064
